"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16th week, 2024",,,,,,"Data collected as of April 24, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
Tochigi,14962,196.87,398,8.29,469,9.77,2355,49.06,2224,46.33,48,1,105,2.19,6,0.13,173,3.6,9,0.19,19,0.4,2,0.17,110,9.17,3,0.43,1,0.14,7,1,1,0.14,-,-,12476,164.16
Gunma,20317,241.87,512,9.66,713,13.45,3242,61.17,4490,84.72,80,1.51,404,7.62,11,0.21,213,4.02,49,0.92,34,0.64,2,0.14,86,6.14,4,0.44,1,0.11,2,0.22,-,-,4,0.44,13355,158.99
Saitama,74473,286.43,1449,8.89,2111,12.95,11189,68.64,16392,100.56,582,3.57,189,1.16,63,0.39,535,3.28,41,0.25,125,0.77,18,0.44,294,7.17,1,0.08,7,0.58,11,0.92,-,-,2,0.17,37333,143.59
Chiba,57212,283.23,640,5.12,1442,11.54,9845,78.76,11479,91.83,269,2.15,97,0.78,36,0.29,394,3.15,24,0.19,71,0.57,7,0.21,262,7.71,6,0.67,4,0.44,7,0.78,-,-,2,0.22,32740,162.08
Tokyo,83895,202.64,1899,7.28,1661,6.36,13593,52.08,25961,99.47,724,2.77,245,0.94,324,1.24,932,3.57,45,0.17,187,0.72,6,0.15,270,6.92,8,0.32,4,0.16,22,0.88,2,0.08,3,0.12,36767,88.81
Kanagawa,87102,238.64,1296,5.66,1778,7.76,10116,44.17,16936,73.96,570,2.49,209,0.91,158,0.69,661,2.89,71,0.31,112,0.49,18,0.36,847,16.94,3,0.25,9,0.75,16,1.33,1,0.08,-,-,37566,102.92
Niigata,23023,267.71,264,4.8,2109,38.35,5175,94.09,3418,62.15,138,2.51,62,1.13,14,0.25,176,3.2,13,0.24,24,0.44,12,1.2,41,4.1,1,0.08,6,0.46,6,0.46,-,-,16,1.23,14304,166.33
Toyama,12625,268.62,124,4.43,1132,40.43,2789,99.61,4202,150.07,77,2.75,40,1.43,4,0.14,82,2.93,41,1.46,5,0.18,1,0.14,31,4.43,-,-,3,0.6,-,-,-,-,-,-,6396,136.09
Ishikawa,13433,292.02,193,6.89,672,24,1336,47.71,4199,149.96,129,4.61,110,3.93,4,0.14,85,3.04,8,0.29,5,0.18,-,-,216,36,-,-,-,-,2,0.5,-,-,-,-,8119,176.5
Fukui,9407,241.21,454,18.16,741,29.64,1804,72.16,2829,113.16,43,1.72,356,14.24,5,0.2,84,3.36,11,0.44,5,0.2,-,-,17,5.67,8,1.33,4,0.67,52,8.67,-,-,-,-,4106,105.28
Yamanashi,6940,169.27,54,2.25,248,10.33,843,35.13,1440,60,41,1.71,63,2.63,3,0.13,78,3.25,2,0.08,5,0.21,-,-,76,8.44,-,-,1,0.1,3,0.3,-,-,1,0.1,6601,161
Nagano,16387,186.22,174,3.22,511,9.46,3079,57.02,3750,69.44,83,1.54,36,0.67,7,0.13,115,2.13,13,0.24,19,0.35,5,0.5,370,37,3,0.25,2,0.17,-,-,-,-,2,0.17,15532,176.5
Gifu,14315,164.54,331,6.25,443,8.36,1956,36.91,3051,57.57,37,0.7,81,1.53,4,0.08,170,3.21,13,0.25,18,0.34,-,-,26,2.36,1,0.2,4,0.8,8,1.6,-,-,2,0.4,15457,177.67
Shizuoka,25181,181.16,420,4.72,1225,13.76,4970,55.84,6363,71.49,166,1.87,98,1.1,30,0.34,296,3.33,14,0.16,65,0.73,-,-,106,4.82,4,0.4,3,0.3,19,1.9,-,-,-,-,21793,156.78
Aichi,48989,251.23,921,5.06,1430,7.86,6769,37.19,11777,64.71,223,1.23,170,0.93,18,0.1,425,2.34,19,0.1,75,0.41,1,0.03,173,4.94,12,0.8,12,0.8,38,2.53,-,-,4,0.27,35799,183.58
Mie,15271,212.1,425,9.44,825,18.33,3079,68.42,4327,96.16,71,1.58,147,3.27,8,0.18,144,3.2,27,0.6,8,0.18,-,-,19,1.58,4,0.44,6,0.67,3,0.33,-,-,-,-,10357,143.85
Shiga,11458,194.2,173,4.94,405,11.57,948,27.09,2390,68.29,74,2.11,120,3.43,11,0.31,87,2.49,14,0.4,11,0.31,1,0.13,17,2.13,1,0.14,7,1,6,0.86,-,-,-,-,6842,115.97
Kyoto,26684,215.19,716,9.55,879,11.72,2706,36.08,5553,74.04,140,1.87,368,4.91,10,0.13,174,2.32,40,0.53,26,0.35,1,0.06,55,3.06,-,-,3,0.5,8,1.33,-,-,-,-,14022,113.08
Osaka,60778,198.62,4594,23.32,1438,7.3,9908,50.29,17994,91.34,407,2.07,1640,8.32,39,0.2,579,2.94,173,0.88,78,0.4,8,0.16,282,5.53,8,0.47,6,0.35,77,4.53,1,0.06,15,0.88,26430,86.37
Hyogo,37391,188.84,1092,8.53,1572,12.28,5534,43.23,14160,110.63,244,1.91,540,4.22,42,0.33,383,2.99,85,0.66,60,0.47,11,0.32,257,7.56,5,0.36,8,0.57,33,2.36,-,-,2,0.14,18788,94.89
Nara,11611,215.02,734,22.24,445,13.48,1379,41.79,3120,94.55,46,1.39,248,7.52,-,-,104,3.15,22,0.67,5,0.15,2,0.2,96,9.6,3,0.5,-,-,5,0.83,-,-,-,-,6955,128.8
Wakayama,9110,185.92,242,8.07,296,9.87,1125,37.5,2766,92.2,41,1.37,156,5.2,2,0.07,93,3.1,12,0.4,13,0.43,3,0.75,8,2,-,-,5,0.45,12,1.09,2,0.18,2,0.18,6057,123.61
Tottori,4682,161.45,27,1.42,292,15.37,2158,113.58,1890,99.47,34,1.79,33,1.74,1,0.05,60,3.16,4,0.21,6,0.32,1,0.2,16,3.2,6,1.2,6,1.2,1,0.2,-,-,1,0.2,3912,134.9
Shimane,5554,146.16,75,3.26,322,14,665,28.91,2577,112.04,33,1.43,97,4.22,4,0.17,122,5.3,17,0.74,10,0.43,-,-,14,4.67,4,0.5,2,0.25,3,0.38,-,-,1,0.13,3936,103.58
Okayama,14516,172.81,98,1.81,711,13.17,1974,36.56,4766,88.26,60,1.11,340,6.3,20,0.37,152,2.81,11,0.2,20,0.37,2,0.17,62,5.17,-,-,1,0.2,1,0.2,-,-,4,0.8,11032,131.33
Hiroshima,21440,191.43,475,6.88,1490,21.59,3180,46.09,7980,115.65,121,1.75,338,4.9,11,0.16,209,3.03,20,0.29,17,0.25,2,0.11,258,13.58,5,0.24,1,0.05,13,0.62,-,-,4,0.19,13476,120.32
Yamaguchi,15062,228.21,495,11.79,661,15.74,3510,83.57,3547,84.45,42,1,37,0.88,7,0.17,203,4.83,7,0.17,2,0.05,-,-,77,8.56,1,0.11,-,-,17,1.89,1,0.11,-,-,8132,123.21
Tokushima,6905,186.62,130,5.65,228,9.91,678,29.48,1647,71.61,28,1.22,238,10.35,3,0.13,92,4,25,1.09,4,0.17,-,-,11,2.75,-,-,2,0.29,1,0.14,-,-,-,-,5212,140.86
Kagawa,7899,168.06,142,5.07,345,12.32,1327,47.39,3719,132.82,47,1.68,249,8.89,13,0.46,113,4.04,27,0.96,12,0.43,-,-,12,2.4,-,-,1,0.2,14,2.8,-,-,-,-,6186,131.62
Ehime,14398,239.97,219,6.08,493,13.69,3184,88.44,5241,145.58,74,2.06,383,10.64,4,0.11,181,5.03,118,3.28,15,0.42,-,-,168,21,1,0.17,-,-,3,0.5,-,-,2,0.33,8593,143.22
Kochi,9359,212.7,36,1.44,249,9.96,1648,65.92,1435,57.4,42,1.68,86,3.44,10,0.4,74,2.96,41,1.64,4,0.16,-,-,11,3.67,5,0.63,1,0.13,11,1.38,-,-,6,0.75,5433,123.48
Fukuoka,65462,330.62,644,5.37,1634,13.62,12496,104.13,9580,79.83,417,3.48,628,5.23,35,0.29,615,5.13,59,0.49,50,0.42,3,0.12,155,5.96,7,0.47,5,0.33,13,0.87,-,-,2,0.13,22314,112.7
Saga,10446,267.85,120,5.22,471,20.48,1754,76.26,1328,57.74,54,2.35,62,2.7,5,0.22,151,6.57,6,0.26,11,0.48,-,-,23,5.75,5,0.83,4,0.67,25,4.17,-,-,3,0.5,6132,157.23
Nagasaki,18487,267.93,102,2.37,1031,23.98,2430,56.51,2575,59.88,76,1.77,229,5.33,4,0.09,172,4,11,0.26,10,0.23,12,1.5,111,13.88,1,0.08,5,0.42,12,1,-,-,1,0.08,9192,133.22
Kumamoto,21624,273.72,199,3.98,909,18.18,2554,51.08,5612,112.24,163,3.26,295,5.9,17,0.34,334,6.68,37,0.74,24,0.48,1,0.13,134,16.75,4,0.27,4,0.27,3,0.2,1,0.07,-,-,11459,145.05
Oita,16705,288.02,67,1.86,796,22.11,1955,54.31,5585,155.14,55,1.53,380,10.56,7,0.19,246,6.83,64,1.78,23,0.64,1,0.2,34,6.8,-,-,3,0.27,24,2.18,-,-,1,0.09,8882,153.14
Miyazaki,17213,296.78,179,4.97,1122,31.17,2866,79.61,4748,131.89,61,1.69,411,11.42,8,0.22,207,5.75,20,0.56,16,0.44,-,-,123,20.5,-,-,-,-,-,-,-,-,-,-,8305,143.19
Kagoshima,19899,226.13,329,6.58,2750,55,3263,65.26,6510,130.2,102,2.04,704,14.08,9,0.18,219,4.38,74,1.48,31,0.62,1,0.14,145,20.71,2,0.17,-,-,-,-,-,-,1,0.08,10532,119.68
Okinawa,16314,307.81,124,4.13,522,17.4,2187,72.9,1004,33.47,126,4.2,87,2.9,6,0.2,61,2.03,26,0.87,35,1.17,1,0.13,209,26.13,2,0.29,1,0.14,72,10.29,-,-,-,-,5313,100.25
