"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2nd week, 2026",,,,,,"Data collected as of January 14, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
Tochigi,370,7.87,18,0.67,6,0.22,67,2.48,156,5.78,19,0.7,-,-,4,0.15,7,0.26,2,0.07,1,0.04,-,-,9,0.75,-,-,2,0.29,5,0.71,-,-,1,0.14,158,3.36
Gunma,380,8.44,11,0.44,13,0.52,38,1.52,306,12.24,12,0.48,-,-,4,0.16,9,0.36,-,-,1,0.04,-,-,3,0.3,-,-,-,-,12,1.33,-,-,-,-,74,1.64
Saitama,1886,10.9,40,0.37,36,0.33,233,2.16,831,7.69,65,0.6,6,0.06,12,0.11,33,0.31,1,0.01,2,0.02,2,0.05,21,0.49,1,0.08,1,0.08,5,0.42,-,-,2,0.17,366,2.12
Chiba,2027,11.2,25,0.23,10,0.09,306,2.78,815,7.41,41,0.37,1,0.01,21,0.19,22,0.2,3,0.03,3,0.03,-,-,20,0.61,1,0.11,-,-,3,0.33,-,-,-,-,262,1.45
Tokyo,2867,6.86,70,0.27,35,0.13,423,1.61,2099,7.98,125,0.48,13,0.05,19,0.07,73,0.28,2,0.01,9,0.03,1,0.03,15,0.38,1,0.04,1,0.04,14,0.56,1,0.04,1,0.04,341,0.82
Kanagawa,2178,9.19,36,0.26,8,0.06,262,1.88,1079,7.76,75,0.54,2,0.01,20,0.14,27,0.19,-,-,6,0.04,-,-,34,0.68,1,0.08,3,0.25,6,0.5,-,-,1,0.08,308,1.3
Niigata,420,7.64,7,0.23,7,0.23,88,2.93,73,2.43,17,0.57,-,-,38,1.27,10,0.33,-,-,1,0.03,1,0.1,3,0.3,-,-,-,-,14,1.08,-,-,-,-,173,3.15
Toyama,368,7.83,5,0.17,15,0.52,83,2.86,145,5,27,0.93,2,0.07,5,0.17,9,0.31,2,0.07,2,0.07,-,-,-,-,-,-,-,-,3,0.6,-,-,-,-,51,1.09
Ishikawa,390,8.3,18,0.64,7,0.25,46,1.64,223,7.96,15,0.54,2,0.07,3,0.11,7,0.25,1,0.04,1,0.04,-,-,7,1,-,-,-,-,2,0.4,-,-,-,-,58,1.23
Fukui,292,7.49,18,0.72,7,0.28,57,2.28,156,6.24,18,0.72,6,0.24,8,0.32,3,0.12,1,0.04,-,-,-,-,-,-,-,-,1,0.17,2,0.33,-,-,1,0.17,35,0.9
Yamanashi,351,10.03,8,0.38,1,0.05,10,0.48,89,4.24,-,-,-,-,6,0.29,5,0.24,-,-,1,0.05,-,-,1,0.11,-,-,-,-,3,0.3,2,0.2,-,-,81,2.31
Nagano,505,10.1,29,1.04,3,0.11,48,1.71,187,6.68,13,0.46,-,-,4,0.14,6,0.21,1,0.04,1,0.04,-,-,13,1.3,-,-,-,-,11,0.92,-,-,-,-,163,3.26
Gifu,375,8.33,6,0.22,3,0.11,16,0.59,231,8.56,1,0.04,-,-,9,0.33,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,6,1.2,-,-,-,-,107,2.38
Shizuoka,1605,11.55,24,0.27,15,0.17,117,1.31,399,4.48,24,0.27,1,0.01,18,0.2,24,0.27,1,0.01,1,0.01,-,-,1,0.05,-,-,-,-,5,0.5,-,-,-,-,179,1.29
Aichi,2225,13.65,58,0.57,20,0.2,119,1.18,521,5.16,21,0.21,-,-,44,0.44,16,0.16,-,-,1,0.01,1,0.03,25,0.71,-,-,1,0.07,20,1.33,-,-,-,-,268,1.64
Mie,808,11.71,34,0.79,10,0.23,52,1.21,277,6.44,11,0.26,-,-,13,0.3,9,0.21,-,-,-,-,-,-,2,0.17,-,-,-,-,4,0.44,-,-,-,-,72,1.04
Shiga,512,8.83,21,0.6,6,0.17,61,1.74,155,4.43,30,0.86,2,0.06,6,0.17,2,0.06,-,-,1,0.03,-,-,1,0.11,-,-,-,-,2,0.29,-,-,-,-,36,0.62
Kyoto,717,10.86,19,0.49,16,0.41,104,2.67,196,5.03,35,0.9,1,0.03,9,0.23,13,0.33,-,-,3,0.08,-,-,2,0.11,-,-,-,-,10,1.43,-,-,-,-,72,1.09
Osaka,2345,8.09,203,1.1,59,0.32,258,1.39,832,4.5,110,0.59,5,0.03,29,0.16,48,0.26,5,0.03,2,0.01,-,-,27,0.53,1,0.06,1,0.06,4,0.22,1,0.06,1,0.06,206,0.71
Hyogo,2032,12.39,84,0.8,30,0.29,200,1.9,434,4.13,67,0.64,3,0.03,34,0.32,32,0.3,2,0.02,4,0.04,-,-,9,0.26,-,-,1,0.07,6,0.43,-,-,-,-,151,0.92
Nara,411,10.02,26,1.13,7,0.3,29,1.26,93,4.04,11,0.48,1,0.04,3,0.13,2,0.09,-,-,-,-,-,-,3,0.33,-,-,-,-,4,0.67,-,-,1,0.17,53,1.29
Wakayama,556,12.36,36,1.33,9,0.33,31,1.15,88,3.26,3,0.11,-,-,11,0.41,6,0.22,-,-,1,0.04,-,-,3,0.75,-,-,-,-,4,0.36,-,-,-,-,75,1.67
Tottori,328,11.31,8,0.42,5,0.26,53,2.79,65,3.42,7,0.37,-,-,9,0.47,4,0.21,-,-,-,-,-,-,1,0.2,-,-,1,0.2,10,2,-,-,-,-,42,1.45
Shimane,270,13.5,6,0.55,12,1.09,44,4,34,3.09,15,1.36,-,-,2,0.18,3,0.27,-,-,-,-,-,-,5,1.67,-,-,1,0.13,10,1.25,-,-,-,-,22,1.1
Okayama,615,12.3,22,0.79,2,0.07,37,1.32,154,5.5,11,0.39,1,0.04,28,1,5,0.18,2,0.07,-,-,-,-,4,0.33,-,-,-,-,5,1,-,-,-,-,70,1.4
Hiroshima,889,9.56,21,0.38,25,0.45,93,1.66,265,4.73,30,0.54,2,0.04,20,0.36,8,0.14,1,0.02,1,0.02,-,-,18,0.95,-,-,-,-,21,1.05,-,-,-,-,91,0.98
Yamaguchi,648,10.29,31,0.78,14,0.35,155,3.88,171,4.28,8,0.2,3,0.08,53,1.33,9,0.23,-,-,2,0.05,-,-,4,0.44,1,0.11,-,-,5,0.56,-,-,-,-,75,1.19
Tokushima,426,12.91,9,0.43,6,0.29,11,0.52,53,2.52,6,0.29,6,0.29,21,1,7,0.33,1,0.05,-,-,-,-,2,0.5,-,-,-,-,4,0.57,-,-,-,-,43,1.3
Kagawa,183,7.96,13,1,2,0.15,8,0.62,47,3.62,2,0.15,-,-,12,0.92,6,0.46,-,-,-,-,-,-,1,0.2,-,-,-,-,3,0.6,-,-,-,-,28,1.22
Ehime,661,17.86,16,0.8,9,0.45,82,4.1,125,6.25,15,0.75,-,-,28,1.4,8,0.4,-,-,-,-,-,-,11,1.38,-,-,-,-,2,0.33,-,-,-,-,90,2.43
Kochi,771,20.29,3,0.15,3,0.15,20,1,49,2.45,6,0.3,-,-,9,0.45,5,0.25,1,0.05,1,0.05,-,-,2,0.67,1,0.13,-,-,4,0.5,-,-,-,-,91,2.39
Fukuoka,2019,16.41,29,0.41,51,0.72,266,3.75,493,6.94,57,0.8,3,0.04,18,0.25,24,0.34,2,0.03,5,0.07,1,0.04,37,1.42,1,0.07,1,0.07,3,0.2,-,-,-,-,62,0.5
Saga,374,15.58,2,0.17,8,0.67,31,2.58,55,4.58,6,0.5,1,0.08,16,1.33,6,0.5,-,-,-,-,-,-,2,0.5,-,-,-,-,1,0.17,-,-,-,-,16,0.67
Nagasaki,846,16.59,1,0.03,18,0.58,61,1.97,105,3.39,20,0.65,1,0.03,26,0.84,7,0.23,3,0.1,1,0.03,1,0.13,18,2.25,-,-,-,-,4,0.33,-,-,-,-,48,0.94
Kumamoto,1047,14.54,20,0.42,15,0.31,79,1.65,195,4.06,26,0.54,7,0.15,69,1.44,21,0.44,1,0.02,3,0.06,-,-,12,1.33,1,0.07,-,-,8,0.53,-,-,1,0.07,62,0.86
Oita,877,15.12,10,0.28,17,0.47,68,1.89,281,7.81,22,0.61,5,0.14,15,0.42,9,0.25,-,-,2,0.06,-,-,5,1,-,-,-,-,-,-,-,-,-,-,52,0.9
Miyazaki,877,31.32,2,0.13,19,1.27,29,1.93,160,10.67,11,0.73,1,0.07,21,1.4,6,0.4,-,-,-,-,-,-,13,2.17,-,-,-,-,4,0.57,-,-,2,0.29,28,1
Kagoshima,1340,23.51,20,0.65,26,0.84,66,2.13,178,5.74,25,0.81,-,-,64,2.06,5,0.16,1,0.03,1,0.03,-,-,7,1,-,-,-,-,4,0.33,-,-,-,-,31,0.54
Okinawa,815,18.11,8,0.32,17,0.68,32,1.28,90,3.6,22,0.88,3,0.12,9,0.36,6,0.24,-,-,1,0.04,-,-,39,4.33,-,-,-,-,-,-,-,-,1,0.14,15,0.33
